country,GDP_per_capita,ICT goods exports,R_and_D_expenditure,doctorates_percent,high_technology_exports,industrial_design_applications,journal_articles,patent_applications,researchers_per_million
Bosnia and Herzegovina,5050.0,0.2577640943,0.21897,0.098360002040863,96042566.0,24.0,524.6,,328.70427
Botswana,6680.0,0.1489692595,,,35802081.0,,167.4,,
Brazil,10100.0,0.4489207556,,,8848309553.0,3289.0,53492.3,4641.0,
British Virgin Islands,,,,,,,,,
Brunei Darussalam,38590.0,0.1885665422,,,75036399.0,,177.5,,
Bulgaria,7480.0,2.8968345147,0.95657,,1107680340.0,620.0,2605.3,280.0,1989.42989
Burkina Faso,620.0,0.0228393007,,,5393895.0,,219.8,,
Burundi,280.0,0.5007482905,,,762143.0,,12.2,,
Cabo Verde,3160.0,0.3482919972,,0.0426100008189678,,,9.6,,
Cambodia,1060.0,2.1839556019,0.11827,,60108587.0,9.0,111.4,,30.25697
Cameroon,1470.0,0.0250245809,,,13383768.0,,635.3,,
Canada,47460.0,2.1437561669,,,26318082109.0,797.0,60496.4,4277.0,
Cayman Islands,,,,0.814180016517639,,,,,
Central African Republic,360.0,0.00052347,,,,,13.6,,
Chad,890.0,,,,,,12.4,,
Channel Islands,,,,,,,,,
Chile,14270.0,0.4717946036,0.38444,,550580282.0,43.0,6515.1,443.0,455.49715
China,7950.0,26.5630711866,2.06558,,549799008829.0,551481.0,411268.1,968252.0,1176.57712
Colombia,7130.0,0.235013369,0.24177,,793475743.0,358.0,5520.5,321.0,
Comoros,790.0,,,,,,2.5,,
"Congo, Dem. Rep.",460.0,,,,,,131.3,,
"Congo, Rep.",2350.0,,,,,,65.9,,
Costa Rica,10500.0,1.6956656227,,,861602448.0,10.0,354.5,17.0,
Cote d'Ivoire,1490.0,0.1118170557,,,37577573.0,,194.2,,
Croatia,12950.0,2.4487308988,0.85439,,762004793.0,406.0,4398.1,169.0,1501.53868
Cuba,,,0.42854,,,,1341.0,,
Curacao,,,,,,,,,
Cyprus,26210.0,6.1865298636,0.45585,0.725149989128113,26759530.0,123.0,891.8,6.0,1013.76958
Czech Republic,18250.0,13.536026831,1.94865,0.600679993629456,20792031147.0,928.0,16873.4,880.0,3611.90621
Denmark,60170.0,3.6645056476,3.01387,0.648800015449524,9375393736.0,166.0,14052.6,1462.0,7483.57626
Djibouti,1740.0,,,,,,5.8,,
Dominica,6760.0,,,,,,9.5,,
Dominican Republic,6250.0,1.0041038711,,,185791798.0,48.0,35.3,21.0,
Ecuador,6000.0,0.0819332466,,,97006477.0,65.0,666.0,20.0,
"Egypt, Arab Rep.",3310.0,3.6953584681,0.72269,,88390406.0,1625.0,9830.6,718.0,679.81262
El Salvador,3880.0,0.2554979406,0.1302,,183144061.0,11.0,21.8,7.0,65.28925
Equatorial Guinea,10780.0,,,,,,5.1,,
Eritrea,,,,,,,9.7,,
Estonia,18380.0,11.9073927221,1.49502,,1042341818.0,49.0,1604.2,30.0,3189.1924
Eswatini,3280.0,,,,,,35.0,,
Ethiopia,600.0,0.2407532784,,,11843145.0,,1020.8,,
Faroe Islands,,,,,,,,,
Fiji,4810.0,0.759678952,,,3022421.0,,99.4,,
Finland,46630.0,2.4628216741,2.90474,,3632887080.0,310.0,10752.7,1289.0,6816.7699
France,40730.0,4.0241538628,2.23135,0.764140009880066,104339993891.0,13140.0,72224.4,14306.0,
French Polynesia,,0.801460795,,,10418387.0,,,,
Gabon,8040.0,,,,,,60.3,,
"Gambia, The",440.0,,,,,,42.7,,
Georgia,4120.0,1.0468000914,0.32046,,34742057.0,175.0,492.0,99.0,1288.26555
Germany,45790.0,4.6516195563,2.87749,1.28924000263214,185556246410.0,45170.0,105754.9,47384.0,4431.08151
Ghana,1490.0,,,,,,794.8,,
Gibraltar,,,,,,,,,
Greece,20360.0,3.0706292535,0.95673,0.486739993095398,1141459515.0,943.0,11195.8,550.0,3201.2703
Greenland,,0.0854845473,,0.101010002195835,487213.0,,32.2,,
Grenada,8700.0,,,,,,31.5,,
Guam,,,,,,,,,
Guatemala,3610.0,0.2666332793,,,228466451.0,20.0,86.0,7.0,
Guinea,690.0,0.0375383052,,,2448491.0,,27.3,,
Guinea-Bissau,620.0,,,,,,10.3,,
Guyana,4060.0,0.0519994921,,,105777.0,,8.8,,
Haiti,810.0,,,,,,33.8,,
Honduras,2090.0,0.1655464493,,,,7.0,31.4,4.0,
"Hong Kong SAR, China",41180.0,48.648280222,0.76128,,425888102.0,1335.0,,239.0,3248.49825
Hungary,12960.0,11.6237641722,1.37762,0.7535600066185,11789798880.0,674.0,6566.3,569.0,2568.84231
Iceland,49960.0,0.1845233117,2.21493,,110196317.0,16.0,611.7,40.0,5902.52713
India,1600.0,0.8890883092,0.6274,,13750546786.0,6829.0,106663.4,12579.0,215.85286
Indonesia,3430.0,3.5210174223,,0.0321299992501736,4409587991.0,2651.0,5071.5,1058.0,
"Iran, Islamic Rep.",5340.0,,,,,,36748.6,,
Iraq,5960.0,,0.03724,,,,897.3,335.0,64.2722
